Task,Lead for Next Step,Participants,Timeline,Notes
Review 2023 and prior field results with WG and advance/reject crossings based on outcomes,CWF,WG,June (2024),
Review lateral habitat report with partners working on lateral habitat identification in watershed to refine methods,CWF,"Nooaitch, NVIT",June-August 2024,
"Meet with partners to get feedback on potential for CWF to take a coordination role on thermal refugia habitat mapping, identification and prioritization & identify data gaps; begin coordinating (depending on feedback) ",CWF,WG,June-October 2024,Requires feedback from working group
Complete barrier removal on Clapperton Creek,CWF,LNIB ,July (2024),
Complete barrier assessments for next set of crossings,CWF,"LNIB, Nooaitch, STC",August (2024),
Complete habitat confirmation on Manning Creek,CWF,"LNIB, Nooaitch, STC",August (2024),
Update model with all current relvant information for Lower Nicola watershed,CWF,WG,December of 2024,
Review 2024 assessment results with working group,CWF,WG,January-February 2025,
Re-run connectivity models,CWF,,February-March 2025,
Develop 2025-2026 work plan,CWF,WG,February-March 2025,
Update WCRP based on 2024 field results and partner feedback,CWF,WG,March-April 2025,
